timestep,reward
23,-0.6100000000000004
3321,-0.5874999999999999
6615,-0.5720000000000001
10153,-0.5388000000000001
13569,-0.49420000000000003
17041,-0.46069999999999994
20233,-0.4083999999999998
24011,-0.40039999999999987
27513,-0.4035000000000001
31245,-0.4242
34773,-0.4449000000000001
38181,-0.6355999999999998
41555,-0.5742999999999998
44793,-0.6019
48105,-0.5711
51369,-0.6121000000000002
54789,-0.6278000000000001
58071,-0.6291000000000002
61349,-0.5746999999999999
64809,-0.5676
67989,-0.5922999999999998
71233,-0.5869000000000001
74557,-0.6125999999999998
77745,-0.6019000000000001
81355,-0.5555
84559,-0.6343
87927,-0.6292000000000001
91261,-0.5919000000000002
94405,-0.567
97775,-0.43710000000000016
101003,-0.3588000000000001
104351,-0.3827999999999999
107513,-0.38190000000000013
110660,-0.4757
114172,-0.5518000000000002
117314,-0.6207000000000001
120828,-0.5723999999999997
124148,-0.5785000000000001
127490,-0.5695000000000001
130948,-0.49389999999999984
134080,-0.45390000000000014
137448,-0.4859999999999998
140442,-0.48760000000000003
143590,-0.49070000000000014
146841,-0.5155000000000002
149956,-0.5257000000000001
153194,-0.6036000000000001
156014,-0.5431999999999999
159218,-0.5436
162485,-0.5611
165814,-0.5635000000000001
169148,-0.5933000000000002
172743,-0.5863999999999998
176219,-0.6144000000000001
179649,-0.5825000000000002
183117,-0.6175999999999999
186621,-0.5835000000000001
189887,-0.6392999999999999
193087,-0.5885999999999999
196405,-0.6073
199713,-0.6172999999999998
202887,-0.596
206219,-0.5702999999999998
209483,-0.6368000000000001
212957,-0.6113000000000001
216643,-0.6184000000000002
220018,-0.5594
223678,-0.5255000000000001
227208,-0.5006000000000003
230748,-0.4465999999999999
234516,-0.40249999999999986
238008,-0.4089000000000002
241712,-0.4093999999999998
245454,-0.3852000000000001
248838,-0.3800000000000002
252398,-0.3762
255656,-0.38940000000000013
258786,-0.39049999999999985
262708,-0.36869999999999997
266460,-0.37360000000000004
269908,-0.4127
273374,-0.43859999999999993
276866,-0.4206999999999999
280330,-0.4183
283772,-0.44329999999999997
287514,-0.43279999999999985
291376,-0.4489999999999998
294920,-0.46250000000000013
298428,-0.4681
301868,-0.5018
305210,-0.5758
308820,-0.6012000000000001
312344,-0.5420999999999999
315894,-0.6050999999999997
319410,-0.5651000000000002
322868,-0.5765
326216,-0.5975999999999997
329543,-0.5901
332909,-0.5775000000000001
336238,-0.5949
339693,-0.6121999999999997
343233,-0.6115
346709,-0.6189
349947,-0.6141999999999999
353497,-0.5972999999999997
356923,-0.5770999999999996
360541,-0.5993999999999999
363845,-0.6032000000000001
367149,-0.5936000000000002
370656,-0.5987000000000003
374050,-0.6248999999999998
377586,-0.6164000000000001
381202,-0.6163999999999998
384395,-0.5740000000000003
388141,-0.5986
391691,-0.6077
394927,-0.5909
398327,-0.5786999999999999
401723,-0.6111000000000001
405105,-0.5838000000000002
408291,-0.5870000000000001
411757,-0.5722000000000002
415203,-0.6272000000000001
418649,-0.5781999999999997
421990,-0.606
425669,-0.6149000000000001
428920,-0.5790000000000002
432252,-0.5783999999999998
435420,-0.6082000000000005
438768,-0.5956000000000001
442339,-0.5872000000000002
445947,-0.5838999999999999
449677,-0.6237
452997,-0.5967999999999999
456485,-0.5820000000000002
459573,-0.6101000000000001
462835,-0.6084000000000003
466122,-0.5894999999999999
469750,-0.5900000000000002
473121,-0.5951999999999997
476445,-0.5959999999999999
479951,-0.5687999999999999
483081,-0.5957
486253,-0.6231999999999998
489727,-0.5992000000000003
493157,-0.5762000000000002
496735,-0.6242999999999997
499979,-0.5817000000000002
503675,-0.5732999999999999
507175,-0.6121
510497,-0.6328
513843,-0.6110999999999999
517117,-0.5783
520435,-0.5860000000000001
523955,-0.6055000000000003
527167,-0.5796000000000001
530414,-0.5952000000000003
533804,-0.5950000000000002
537490,-0.5160000000000002
540796,-0.4825999999999999
544340,-0.47779999999999995
547754,-0.4775999999999999
551466,-0.4185000000000001
554926,-0.4383000000000001
558348,-0.42199999999999993
561758,-0.4344000000000001
565018,-0.44289999999999985
568538,-0.48469999999999996
572188,-0.5673000000000001
575394,-0.6062
578766,-0.6079999999999999
581980,-0.5888
585522,-0.5948999999999998
589334,-0.6293000000000001
592834,-0.6557999999999998
596121,-0.6298000000000002
599370,-0.6105999999999997
602670,-0.6214999999999999
606153,-0.5652
609765,-0.6027000000000003
613285,-0.6184999999999998
616919,-0.6198
620007,-0.6001
623469,-0.6081000000000001
626784,-0.6336000000000004
630064,-0.5944
633356,-0.6440999999999998
636830,-0.5836
640132,-0.5969000000000001
643510,-0.6178
646814,-0.6012000000000001
650106,-0.5575000000000001
653458,-0.5612999999999999
657072,-0.6154999999999996
660366,-0.6183000000000002
663942,-0.5915999999999999
667170,-0.6457999999999998
670753,-0.6206000000000003
674215,-0.6055000000000001
677393,-0.5926
